Plant ID,Root Number,Predecessor,Length (cm),Prelength (cm),Diameter (cm),Branching Order,"Approx, grow time (days)",Branching Angle,Root System Width (cm),Number of Lateral Roots,Nodes,Edges
mg4_n ave,NaN,NaN,2.257715712,4.989358249,0.048680746,2.815789474,14.82520679,102.7263889,12.5,38,103,111
mg5_n,1,0,2.040321605,0,0.059725136,0,0,NaN,12.4,38,93,97
mg5_n,3,1,0.07602517,1.020135297,0.033314364,1,3.510067648,80.92398905,12.4,38,93,97
mg5_n,5,2,0.066876958,5.280866695,0.024313638,2,8.684831507,117.160105,12.4,38,93,97
mg5_n,6,2,0.106000654,6.296889144,0.026834782,2,9.192842731,150.7781751,12.4,38,93,97
mg5_n,7,2,0.070906214,9.458763232,0.032798216,2,10.77377978,83.42314263,12.4,38,93,97
mg5_n,8,2,0.160663569,11.10867794,0.027398262,2,11.59873713,148.896081,12.4,38,93,97
mg5_n,10,2,0.130762153,12.61417063,0.031422157,2,12.35148347,137.6534258,12.4,38,93,97
mg5_n,2,1,18.83316025,0.088796319,0.07237451,1,3.04439816,74.41929078,12.4,38,93,97
mg5_n,9,2,1.803570914,11.69352876,0.039217797,2,11.89116254,157.842682,12.4,38,93,97
mg5_n,11,2,0.268642238,13.33455816,0.032747099,2,12.71167724,156.2577836,12.4,38,93,97
mg5_n,12,2,0.119392475,13.69359867,0.036288412,2,12.89119749,111.6474113,12.4,38,93,97
mg5_n,13,2,0.056006126,13.73540964,0.029047232,2,12.91210298,55.05834669,12.4,38,93,97
mg5_n,14,2,0.127229219,13.99078227,0.044846564,2,13.0397893,56.87088471,12.4,38,93,97
mg5_n,15,2,0.290907261,14.24678987,0.038849886,2,13.1677931,53.02776746,12.4,38,93,97
mg5_n,16,2,0.064008601,14.75103883,0.027574411,2,13.41991757,96.19738678,12.4,38,93,97
mg5_n,17,2,0.230197989,15.26639574,0.046618256,2,13.67759603,62.82279142,12.4,38,93,97
mg5_n,18,2,0.238989286,15.37384225,0.036004385,2,13.73131928,107.9041084,12.4,38,93,97
mg5_n,20,2,0.339337848,16.04283744,0.034720003,2,14.06581688,1.968376064,12.4,38,93,97
mg5_n,19,2,1.520354819,15.73606731,0.040450399,2,13.91243182,97.5125451,12.4,38,93,97
mg5_n,25,2,0.503114927,17.29652903,0.037298979,2,14.69266268,94.28495466,12.4,38,93,97
