Plant ID,Root Number,Predecessor,Length (cm),Prelength (cm),Diameter (cm),Branching Order,"Approx, grow time (days)",Branching Angle,Root System Width (cm),Number of Lateral Roots,Nodes,Edges,
mg1_p,85,6,1.879829044,3.548889189,0.040599355,2,8.278853214,176.8994825,10.5,60,193,241,
mg1_p,90,6,1.814100465,3.731457437,0.038664039,2,8.370137338,177.2467693,10.5,60,193,241,
mg1_p,110,16,0.3113104,3.404664682,0.054453773,2,9.287673597,1.403730945,10.5,60,193,241,
mg1_p,63,5,3.510829075,2.5244102,0.055317307,2,7.717682426,4.903952882,10.5,60,193,241,
mg1_p,40,1,4.945661941,8.103889129,0.065627513,1,7.051944565,28.97415881,10.5,60,193,241,
mg1_p,88,6,2.37415057,3.648798695,0.043255814,2,8.328807967,80.60369001,10.5,60,193,241,
mg1_p,1,0,19.35834172,0,0.073859229,0,0,NaN,10.5,60,193,241,
mg1_p,98,5,1.830454828,4.612958767,0.054541584,2,8.761956709,9.593009492,10.5,60,193,241,
mg1_p,116,1,0.197527062,13.2180399,0.026961997,1,9.60901995,93.61162448,10.5,60,193,241,
mg1_p,118,16,0.067008635,4.11310525,0.052356592,2,9.641893881,0,10.5,60,193,241,
mg1_p,89,5,2.730900084,3.790657261,0.040336585,2,8.350805956,6.579525431,10.5,60,193,241,
mg1_p,3,1,13.59340914,0.429389358,0.056493569,1,3.214694679,18.57378011,10.5,60,193,241,
mg1_p,93,5,3.487658839,4.309635339,0.038469091,2,8.610294995,5.683735535,10.5,60,193,241,
mg1_p,111,17,2.23671388,2.979998709,0.046398968,2,9.31997918,142.2102353,10.5,60,193,241,
mg1_p,115,1,2.229972914,12.97463717,0.04983753,1,9.487318586,98.83802395,10.5,60,193,241,
mg1_p,79,5,5.890999321,3.223125569,0.052124745,2,8.06704011,7.476474663,10.5,60,193,241,
mg1_p,132,5,0.220905133,10.46423141,0.035968792,2,11.68759303,2.178991826,10.5,60,193,241,
mg1_p ave,NaN,NaN,2.48077574,3.790471573,0.044171114,1.474576271,6.705751635,69.42274958,10.5,60,193,241,
mg3_p ,1,0,8.32153937,0,0.073142506,0,0,NaN,14.5,49,128,137,
mg3_p ,6,1,0.123768877,7.923081492,0.109225555,1,6.961540746,73.44292862,14.5,49,128,137,***
mg3_p ,7,1,0.115478214,8.072344584,0.101960847,1,7.036172292,113.846818,14.5,49,128,137,
mg3_p ,8,1,0.110853458,8.189461111,0.079464575,1,7.094730556,62.60262317,14.5,49,128,137,
mg3_p ,2,1,6.118209915,6.861170874,0.072286375,1,6.430585437,110.0408021,14.5,49,128,137,
mg3_p ,3,1,5.574372521,7.509492811,0.058599521,1,6.754746406,178.5390532,14.5,49,128,137,
mg3_p ,11,2,0.43877608,0.508275543,0.050700936,2,9.684723209,169.6022191,14.5,49,128,137,
mg3_p ,12,2,0.611569914,0.623704825,0.036363457,2,9.74243785,63.55268186,14.5,49,128,137,
mg3_p ,9,2,1.407775242,0.076027659,0.132250839,2,9.468599267,117.0500624,14.5,49,128,137,
mg3_p ,18,2,0.642465211,1.254966397,0.045264505,2,10.05806864,3.906249291,14.5,49,128,137,
mg3_p ,21,2,0.158819302,2.424853964,0.039481518,2,10.64301242,85.16663424,14.5,49,128,137,
mg3_p ,20,2,0.320405011,2.386771233,0.031572785,2,10.62397105,97.24658689,14.5,49,128,137,
mg3_p ,19,2,0.951881122,2.07053117,0.039051664,2,10.46585102,91.8617191,14.5,49,128,137,
mg3_p ,5,1,8.163449921,7.821726753,0.052465549,1,6.910863377,80.03776292,14.5,49,128,137,
mg3_p ,23,2,0.303717937,2.848356087,0.047220791,2,10.85476348,57.75790953,14.5,49,128,137,
mg3_p ,28,2,0.177807987,3.31192141,0.030244505,2,11.08654614,19.85677054,14.5,49,128,137,
mg3_p ,29,2,0.133633863,3.731156338,0.039151605,2,11.29616361,80.80679732,14.5,49,128,137,
mg3_p ,4,1,9.179506562,7.6655632,0.052695291,1,6.8327816,102.7118521,14.5,49,128,137,
mg3_p ,31,2,0.148749684,4.146045233,0.03678186,2,11.50360805,106.4405082,14.5,49,128,137,
mg3_p ,32,2,0.220925054,4.231894409,0.037008514,2,11.54653264,82.6235539,14.5,49,128,137,
mg3_p ,24,2,1.777255602,2.901466075,0.039126909,2,10.88131847,111.1586319,14.5,49,128,137,
